행정구역별(1),행정구역별(2),17신혼 수,17신혼증감,17신혼증감률,18신혼 수,18신혼증감,18신혼증감률,19신혼 수,19신혼증감,19신혼증감률,20신혼 수,20신혼증감,20신혼증감률,21신혼 수,21신혼증감,21신혼증감률
행정구역별(1),행정구역별(2),원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
서울특별시,구로구,10473,-1097,-9.5,9831,-642,-6.1,9559,-272,-2.8,9472,-87,-0.9,8548,-924,-9.8
서울특별시,금천구,4967,1,0.0,4663,-304,-6.1,4474,-189,-4.1,4225,-249,-5.6,4043,-182,-4.3
서울특별시,영등포구,10278,-287,-2.7,10025,-253,-2.5,9578,-447,-4.5,9959,381,4.0,9412,-547,-5.5
서울특별시,동작구,9872,-717,-6.8,8939,-933,-9.5,8513,-426,-4.8,7769,-744,-8.7,7032,-737,-9.5
서울특별시,관악구,11167,-861,-7.2,10454,-713,-6.4,9429,-1025,-9.8,8483,-946,-10.0,7389,-1094,-12.9
서울특별시,서초구,9950,-1038,-9.4,9024,-926,-9.3,8512,-512,-5.7,7695,-817,-9.6,6930,-765,-9.9
서울특별시,강남구,10449,-1276,-10.9,9358,-1091,-10.4,8784,-574,-6.1,8044,-740,-8.4,7206,-838,-10.4
서울특별시,송파구,17008,267,1.6,16546,-462,-2.7,16151,-395,-2.4,14665,-1486,-9.2,13184,-1481,-10.1
서울특별시,강동구,9816,-213,-2.1,9130,-686,-7.0,8992,-138,-1.5,10361,1369,15.2,10493,132,1.3
부산광역시,소계,67310,-4103,-5.7,62331,-4979,-7.4,57847,-4484,-7.2,54379,-3468,-6.0,50222,-4157,-7.6
부산광역시,중구,559,-68,-10.8,496,-63,-11.3,416,-80,-16.1,337,-79,-19.0,346,9,2.7
부산광역시,서구,1449,-155,-9.7,1406,-43,-3.0,1293,-113,-8.0,1248,-45,-3.5,1148,-100,-8.0
부산광역시,동구,1123,-60,-5.1,1101,-22,-2.0,1224,123,11.2,1409,185,15.1,1345,-64,-4.5
부산광역시,영도구,1435,-193,-11.9,1284,-151,-10.5,1170,-114,-8.9,996,-174,-14.9,993,-3,-0.3
부산광역시,부산진구,7497,-429,-5.4,6703,-794,-10.6,6009,-694,-10.4,5883,-126,-2.1,5709,-174,-3.0
부산광역시,동래구,4661,-267,-5.4,4416,-245,-5.3,4550,134,3.0,4522,-28,-0.6,4006,-516,-11.4
부산광역시,남구,4343,-494,-10.2,4499,156,3.6,4187,-312,-6.9,3583,-604,-14.4,3135,-448,-12.5
부산광역시,북구,6417,-519,-7.5,5604,-813,-12.7,4911,-693,-12.4,4593,-318,-6.5,4521,-72,-1.6
부산광역시,해운대구,7126,-913,-11.4,6596,-530,-7.4,6194,-402,-6.1,5763,-431,-7.0,5505,-258,-4.5
부산광역시,사하구,6713,-270,-3.9,6130,-583,-8.7,5451,-679,-11.1,4697,-754,-13.8,4259,-438,-9.3
