광역시도,행정구역_x,shortName,면적,인구수,x,y,행정구역_y,신혼수_21,신혼증감_21,신혼증감률_21
충청남도,공주시,공주,940.71,102371,4,10,공주시,988,-70,-6.6
충청남도,계룡시,계룡,60.7,37690,4,12,계룡시,499,-16,-3.1
경기도,파주시,파주,672.56,385528,3,2,파주시,9655,-256,-2.6
경기도,광명시,광명,38.5,327111,3,3,광명시,5441,-478,-8.1
경기도,안양시,안양,58.52,566558,3,4,안양시,10493,-382,-3.5
경기도,시흥시,시흥,134.4,381412,3,5,시흥시,11189,-363,-3.1
경기도,안산시,안산,144.78,668089,3,6,안산시,10257,-476,-4.4
경기도,화성시,화성,688.1,555129,3,7,화성시,22775,-1717,-7.0
경기도,오산시,오산,42.74,200793,3,8,오산시,4671,-630,-11.9
광주광역시,북구,북구,121.74,439683,3,19,북구,7444,-357,-4.6
광주광역시,동구,동구,48.86,97571,3,20,동구,1976,18,0.9
전라남도,곡성군,곡성,547.37,26245,3,18,곡성군,157,-29,-15.6
전라남도,보성군,보성,663.16,38705,3,21,보성군,237,-34,-12.5
전라남도,고흥군,고흥,775.85,59975,3,22,고흥군,438,-70,-13.8
전라북도,익산시,익산,507.1,284421,3,14,익산시,3045,-335,-9.9
전라북도,김제시,김제,545.06,78991,3,15,김제시,655,-29,-4.2
전라북도,전주시,전주,206.45,630708,3,16,전주시,10711,-649,-5.7
전라북도,순창군,순창,495.75,25542,3,17,순창군,222,-72,-24.5
충청남도,아산시,아산,542.2,281938,3,9,아산시,6208,-217,-3.4
충청남도,예산군,예산,543.1,76757,3,10,예산군,640,-75,-10.5
충청남도,청양군,청양,479.67,29671,3,11,청양군,192,-9,-4.5
충청남도,논산시,논산,554.98,112516,3,12,논산시,1183,-168,-12.4
충청남도,금산군,금산,576.28,51134,3,13,금산군,320,-62,-16.2
경기도,김포시,김포,276.64,326523,2,3,김포시,11330,-404,-3.4
경기도,부천시,부천,53.44,805473,2,4,부천시,13850,-1224,-8.1
광주광역시,광산구,광산,222.88,389386,2,19,광산구,7369,-559,-7.1
광주광역시,서구,서구,46.73,297826,2,20,서구,4073,-501,-11.0
광주광역시,남구,남구,61.07,213743,2,21,남구,3062,-158,-4.9
인천광역시,계양구,계양,45.58,317785,2,5,계양구,4071,-134,-3.2
인천광역시,부평구,부평,32.0,527153,2,6,부평구,7860,-557,-6.6
인천광역시,미추홀구,미추홀,24.47,388535,2,7,미추홀구,6541,-71,-1.1
인천광역시,남동구,남동,56.9,505791,2,8,남동구,8017,-1039,-11.5
전라남도,장성군,장성,518.65,38578,2,17,장성군,418,-73,-14.9
전라남도,담양군,담양,455.09,39718,2,18,담양군,431,-5,-1.1
전라남도,장흥군,장흥,617.96,35397,2,22,장흥군,338,-35,-9.4
전라남도,완도군,완도,391.81,45985,2,23,완도군,461,-98,-17.5
전라북도,군산시,군산,234.74,259094,2,14,군산시,3520,-337,-8.7
전라북도,부안군,부안,493.54,49980,2,15,부안군,404,-55,-12.0
전라북도,정읍시,정읍,692.8,104307,2,16,정읍시,947,-107,-10.2
충청남도,당진시,당진,694.13,153415,2,9,당진시,2902,-341,-10.5
충청남도,홍성군,홍성,443.9,87904,2,10,홍성군,1434,-188,-11.6
충청남도,보령시,보령,568.22,96133,2,11,보령시,1055,-119,-10.1
충청남도,부여군,부여,624.51,64652,2,12,부여군,364,-64,-15.0
충청남도,서천군,서천,363.4,51776,2,13,서천군,318,-45,-12.4
인천광역시,강화군,강화,411.2,58296,1,3,강화군,577,-24,-4.0
인천광역시,서구,서구,137.05,477567,1,4,서구,10750,-487,-4.3
인천광역시,동구,동구,7.05,68950,1,5,동구,732,27,3.8
인천광역시,중구,중구,110.6,105029,1,7,중구,2931,-65,-2.2
인천광역시,연수구,연수,33.76,299734,1,8,연수구,7898,-588,-6.9
전라남도,영광군,영광,472.97,48141,1,17,영광군,744,-99,-11.7
전라남도,함평군,함평,392.77,29242,1,18,함평군,178,-47,-20.9
전라남도,무안군,무안,436.4,72905,1,19,무안군,1591,222,16.2
전라남도,나주시,나주,603.69,85081,1,20,나주시,2312,-67,-2.8
전라남도,영암군,영암,544.48,52823,1,21,영암군,486,-133,-21.5
전라남도,강진군,강진,495.98,33413,1,22,강진군,267,-41,-13.3
전라북도,고창군,고창,606.9,51887,1,16,고창군,432,-47,-9.8
충청남도,태안군,태안,504.82,56489,1,9,태안군,550,-51,-8.5
충청남도,서산시,서산,739.15,158771,1,10,서산시,3206,-302,-8.6
인천광역시,옹진군,옹진,164.3,17735,0,8,옹진군,251,-14,-5.3
전라남도,신안군,신안,653.13,34396,0,19,신안군,241,-52,-17.7
전라남도,목포시,목포,47.32,229134,0,20,목포시,2626,-382,-12.7
전라남도,해남군,해남,887.47,65184,0,21,해남군,653,-135,-17.1
전라남도,진도군,진도,420.32,28133,0,22,진도군,273,-25,-8.4
