행정구역,신혼수_21,신혼증감_21,신혼증감률_21
전라남도 함평군,178,-47,-20.9
전라남도 영광군,744,-99,-11.7
전라남도 장성군,418,-73,-14.9
전라남도 완도군,461,-98,-17.5
전라남도 진도군,273,-25,-8.4
전라남도 신안군,241,-52,-17.7
경상북도 소계,36052,-3513,-8.9
경상북도 포항시,7476,-602,-7.5
경상북도 남구,3098,-348,-10.1
경상북도 북구,4378,-254,-5.5
경상북도 경주시,3212,-114,-3.4
경상북도 김천시,1981,-201,-9.2
경상북도 안동시,1981,-160,-7.5
경상북도 구미시,8161,-1017,-11.1
경상북도 영주시,1042,-102,-8.9
경상북도 영천시,1239,-55,-4.3
경상북도 상주시,827,-114,-12.1
경상북도 문경시,629,-70,-10.0
경상북도 경산시,4514,-229,-4.8
경상북도 군위군,114,-20,-14.9
경상북도 의성군,321,-79,-19.8
경상북도 청송군,196,-11,-5.3
경상북도 영양군,116,-30,-20.5
경상북도 영덕군,250,-80,-24.2
경상북도 청도군,217,-54,-19.9
경상북도 고령군,185,-33,-15.1
경상북도 성주군,358,-37,-9.4
경상북도 칠곡군,1461,-308,-17.4
경상북도 예천군,911,-49,-5.1
경상북도 봉화군,169,-57,-25.2
경상북도 울진군,605,-87,-12.6
경상북도 울릉군,92,-6,-6.1
경상남도 소계,49200,-5644,-10.3
경상남도 진주시,5782,-226,-3.8
경상남도 통영시,1233,-249,-16.8
경상남도 사천시,1447,-123,-7.8
경상남도 김해시,9338,-1159,-11.0
경상남도 밀양시,911,-111,-10.9
경상남도 거제시,3703,-1002,-21.3
경상남도 양산시,6915,-707,-9.3
경상남도 창원시,16655,-1496,-8.2
경상남도 의창구,3842,-1366,-26.2
경상남도 성산구,4283,324,8.2
경상남도 마산합포구,2792,208,8.0
경상남도 마산회원구,2289,-296,-11.5
경상남도 진해구,3450,-366,-9.6
경상남도 의령군,172,-22,-11.3
경상남도 함안군,507,-110,-17.8
경상남도 창녕군,499,-131,-20.8
경상남도 고성군,271,-57,-17.4
경상남도 남해군,257,-9,-3.4
경상남도 하동군,222,-62,-21.8
경상남도 산청군,203,-36,-15.1
경상남도 함양군,266,-32,-10.7
경상남도 거창군,573,-56,-8.9
경상남도 합천군,251,-55,-18.0
제주특별자치도 소계,11256,-781,-6.5
제주특별자치도 제주시,8648,-612,-6.6
제주특별자치도 서귀포시,2608,-169,-6.1
