행정주소,총인구,세대수,세대당인구,남자인구,여자인구,남여비율
경상북도 영주시,"100,610","51,370",1.96,"49,898","50,712",0.98
경상북도 영주시 풍기읍,"10,483","5,780",1.81,"5,249","5,234",1.0
경상북도 영주시 이산면,"2,229","1,199",1.86,"1,145","1,084",1.06
경상북도 영주시 평은면,"1,421",802,1.77,726,695,1.04
경상북도 영주시 문수면,"1,943","1,131",1.72,"1,009",934,1.08
경상북도 영주시 장수면,"2,093","1,170",1.79,"1,073","1,020",1.05
경상북도 영주시 안정면,"2,843","1,596",1.78,"1,422","1,421",1.0
경상북도 영주시 봉현면,"2,614","1,420",1.84,"1,322","1,292",1.02
경상북도 영주시 순흥면,"1,928","1,123",1.72,983,945,1.04
경상북도 영주시 단산면,"1,784","1,071",1.67,872,912,0.96
