광역시도,행정구역,shortName,신혼수_21,신혼증감_21,신혼증감률_21
전라북도,임실군,임실,268,-21,-7.3
전라북도,순창군,순창,222,-72,-24.5
전라북도,고창군,고창,432,-47,-9.8
전라북도,부안군,부안,404,-55,-12.0
전라남도,목포시,목포,2626,-382,-12.7
전라남도,여수시,여수,3882,-423,-9.8
전라남도,순천시,순천,4675,-245,-5.0
전라남도,나주시,나주,2312,-67,-2.8
전라남도,광양시,광양,2504,-183,-6.8
전라남도,담양군,담양,431,-5,-1.1
전라남도,곡성군,곡성,157,-29,-15.6
전라남도,구례군,구례,155,-28,-15.3
전라남도,고흥군,고흥,438,-70,-13.8
전라남도,보성군,보성,237,-34,-12.5
전라남도,화순군,화순,557,-13,-2.3
전라남도,장흥군,장흥,338,-35,-9.4
전라남도,강진군,강진,267,-41,-13.3
전라남도,해남군,해남,653,-135,-17.1
전라남도,영암군,영암,486,-133,-21.5
전라남도,무안군,무안,1591,222,16.2
전라남도,함평군,함평,178,-47,-20.9
전라남도,영광군,영광,744,-99,-11.7
전라남도,장성군,장성,418,-73,-14.9
전라남도,완도군,완도,461,-98,-17.5
전라남도,진도군,진도,273,-25,-8.4
전라남도,신안군,신안,241,-52,-17.7
경상북도,포항시,포항,7476,-602,-7.5
경상북도,남구,남구,3098,-348,-10.1
경상북도,북구,북구,4378,-254,-5.5
경상북도,경주시,경주,3212,-114,-3.4
경상북도,김천시,김천,1981,-201,-9.2
경상북도,안동시,안동,1981,-160,-7.5
경상북도,구미시,구미,8161,-1017,-11.1
경상북도,영주시,영주,1042,-102,-8.9
경상북도,영천시,영천,1239,-55,-4.3
경상북도,상주시,상주,827,-114,-12.1
경상북도,문경시,문경,629,-70,-10.0
경상북도,경산시,경산,4514,-229,-4.8
경상북도,군위군,군위,114,-20,-14.9
경상북도,의성군,의성,321,-79,-19.8
경상북도,청송군,청송,196,-11,-5.3
경상북도,영양군,영양,116,-30,-20.5
경상북도,영덕군,영덕,250,-80,-24.2
경상북도,청도군,청도,217,-54,-19.9
경상북도,고령군,고령,185,-33,-15.1
경상북도,성주군,성주,358,-37,-9.4
경상북도,칠곡군,칠곡,1461,-308,-17.4
경상북도,예천군,예천,911,-49,-5.1
경상북도,봉화군,봉화,169,-57,-25.2
경상북도,울진군,울진,605,-87,-12.6
경상북도,울릉군,울릉,92,-6,-6.1
경상남도,진주시,진주,5782,-226,-3.8
경상남도,통영시,통영,1233,-249,-16.8
경상남도,사천시,사천,1447,-123,-7.8
경상남도,김해시,김해,9338,-1159,-11.0
경상남도,밀양시,밀양,911,-111,-10.9
경상남도,거제시,거제,3703,-1002,-21.3
경상남도,양산시,양산,6915,-707,-9.3
경상남도,창원시,창원,16655,-1496,-8.2
경상남도,의창구,의창,3842,-1366,-26.2
경상남도,성산구,성산,4283,324,8.2
경상남도,마산합포구,마산합포,2792,208,8.0
경상남도,마산회원구,마산회원,2289,-296,-11.5
경상남도,진해구,진해,3450,-366,-9.6
경상남도,의령군,의령,172,-22,-11.3
경상남도,함안군,함안,507,-110,-17.8
경상남도,창녕군,창녕,499,-131,-20.8
경상남도,고성군,고성,271,-57,-17.4
경상남도,남해군,남해,257,-9,-3.4
경상남도,하동군,하동,222,-62,-21.8
경상남도,산청군,산청,203,-36,-15.1
경상남도,함양군,함양,266,-32,-10.7
경상남도,거창군,거창,573,-56,-8.9
경상남도,합천군,합천,251,-55,-18.0
제주특별자치도,제주시,제주,8648,-612,-6.6
제주특별자치도,서귀포시,서귀포,2608,-169,-6.1
